SU,Class,Count,Weight
3710,Bone,5,0.014
3714,Bone,3,0.008
3715,Bone,,0.079
3717,Bone,,0.094
3719,Bone,,0.012
3722,Bone,,0.34
3723,Bone,,0.016
3726,Bone,,
3727,Bone,,0.198
3728,Bone,,0.07
3729,Bone,,0.1
3731,Bone,,0.388
3732,Bone,9,0.012
3733,Bone,4,0.004
3734,Bone,,0.044
3735,Bone,,0.044
3736,Bone,,
3737,Bone,1,0.006
3738,Bone,,0.008
3740,Bone,,0.014
3741,Bone,1,0.001
3742,Bone,1,0.004
3747,Bone,,0.148
3748,Bone,,0.016
3749,Bone,,0.11
3750,Bone,3,0.014
3756,Bone,,0.006
3757,Bone,1,0.008
3758,Bone,,0.22
3761,Bone,3,0.004
3762,Bone,10,0.022
3763,Bone,,0.018
3765,Bone,,0.01
3766,Bone,,0.18
3767,Bone,1,0.014
3768,Bone,,0.014
3770,Bone,,0.026
3771,Bone,4,0.05
3772,Bone,,0.1
3773,Bone,,0.015
3774,Bone,,0.152
3776,Bone,,0.099
3782,Bone,,0.032
3786,Bone,15,0.038
3789,Bone,,0.1
3790,Bone,,0.08
3792,Bone,1,0.008
3793,Bone,,0.098
3794,Bone,5,0.008
3795,Bone,,0.008
3799,Bone,1,0.001
3801,Bone,2,0.006
3803,Bone,6,0.086
3808,Bone,,0.226
3809,Bone,23,0.04
3810,Bone,,0.012
3812,Bone,1,0.002
3814,Bone,,0.024
3816,Bone,1,0.002
3817,Bone,11,0.05
3826,Bone,1,0.001
3827,Bone,,0.01
3831,Bone,3,0.052
3834,Bone,4,0.038
3835,Bone,,0.008
3837,Bone,,0.216
3838,Bone,,0.036
3843,Bone,,0.124
3844,Bone,,0.008
3845,Bone,,0.029
3848,Bone,,0.1
3849,Bone,,0.066
3850,Bone,,0.004
3852,Bone,,0.038
3853,Bone,,0.026
3854,Bone,,0.044
3855,Bone,1,0.002
3856,Bone,,0.117
3857,Bone,,0.178
3858,Bone,,0.032
3859,Bone,,0.182
3860,Bone,,0.112
4021,Bone,5,0.016
4022,Bone,,
5004,Bone,,10.792
5009,Bone,,0.024
5012,Bone,,2.04
5016,Bone,,6.47
5019,Bone,,1.676
5024,Bone,,0.932
5025,Bone,,1.14
5027,Bone,,1.19
5029,Bone,,0.01
5031,Bone,1,0.001
5032,Bone,1,0.001
5034,Bone,1,0.006
5048,Bone,,9.688
5050,Bone,,0.046
5052,Bone,,2.5
5053,Bone,,0.92
5056,Bone,,0.08
5058,Bone,,0.001
5060,Bone,1,0.052
5065,Bone,,4.24
5066,Bone,,0.438
5068,Bone,,1.595
5073,Bone,9,0.018
5075,Bone,,0.534
5076,Bone,,4.875
5077,Bone,8,0.014
5078,Bone,,0.092
5079,Bone,,0.146
5081,Bone,4,0.032
5082,Bone,8,0.064
5083,Bone,,0.028
5090,Bone,1,0.006
5091,Bone,1,0.002
5092,Bone,,0.35
5093,Bone,,2.785
5094,Bone,2,0.01
5095,Bone,1,0.006
5101,Bone,6,0.034
5103,Bone,,0.01
5104,Bone,,0.166
5108,Bone,4,0.006
5109,Bone,,0.046
5110,Bone,,9.702
5124,Bone,,4.845
5126,Bone,,0.012
5134,Bone,1,0.003
5163,Bone,,0.302
5164,Bone,,0.204
5301,Bone,,0.826
5309,Bone,,1.005
5312,Bone,,5.219
5317,Bone,,0.638
5358,Bone,2,0.001
5391,Bone,9,0.006
5421,Bone,,0.94
5477,Bone,151,3.628
5490,Bone,1,0.001
5508,Bone,,0.158
5510,Bone,6,0.014
5514,Bone,1,0.001
5516,Bone,1,0.001
5538,Bone,,0.61
5539,Bone,39,0.258
5540,Bone,55,0.166
5541,Bone,,2.78
5544,Bone,94,0.208
5552,Bone,,0.074
5554,Bone,101,0.018
5558,Bone,,0.008
5560,Bone,1,0.001
5561,Bone,11,0.068
5562,Bone,20,0.13
5564,Bone,,0.484
5567,Bone,106,0.674
5569,Bone,,0.044
5572,Bone,,10.726
5579,Bone,,0.292
5581,Bone,,1.057
5597,Bone,,0.032
5598,Bone,,44
5602,Bone,,0.078
5605,Bone,,0.205
5606,Bone,,0.006
5608,Bone,,0.035
5609,Bone,,0.06
5616,Bone,,0.05
5621,Bone,,1.29
5622,Bone,113,0.592
5625,Bone,2,0.001
5637,Bone,209,0.468
5639,Bone,,0.046
5641,Bone,,0.972
5656,Bone,,0.062
5682,Bone,3,0.026
5685,Bone,,0.736
5694,Bone,,0.056
5696,Bone,,0.02
5719,Bone,,0.165
5720,Bone,,0.066
5732,Bone,,0.038
5733,Bone,,0.134
5734,Bone,,0.397
5735,Bone,17,0.078
5737,Bone,1,0.001
5760,Bone,,0.009
5788,Bone,8,0.084
5789,Bone,,0.066
5791,Bone,,1.47
5793,Bone,,0.788
5794,Bone,,0.12
5795,Bone,,1.44
5797,Bone,,0.158
5799,Bone,,0.054
5807,Bone,,0.07
5809,Bone,,3.042
5815,Bone,,0.072
5816,Bone,,0.308
5817,Bone,,0.732
5846,Bone,,12.151
5848,Bone,,0.37
5851,Bone,,0.627
5853,Bone,,0.107
5856,Bone,,0.016
5857,Bone,,0.014
5864,Bone,1,0.008
5867,Bone,,12.63
5868,Bone,,0.01
5894,Bone,2,0.006
6000,Bone,,0.104
6001,Bone,1,0.004
6001,Bone,,0.08
6002,Bone,,0.029
6002,Bone,,0.358
6003,Bone,61,0.08
6005,Bone,,0.01
6005,Bone,,0.06
6007,Bone,,0.18
6008,Bone,,0.024
6009,Bone,,0.042
6010,Bone,,0.023
6012,Bone,1,0.058
6012,Bone,,0.049
6013,Bone,,0.06
6015,Bone,2,0.004
6016,Bone,,0.74
6019,Bone,,0.006
6020,Bone,,0.056
6027,Bone,,0.08
6028,Bone,,0.072
6029,Bone,,0.019
6031,Bone,,0.17
6031,Bone,,0.17
6044,Bone,,0.335
6047,Bone,,0.014
6048,Bone,4,0.007
6050,Bone,,0.018
6057,Bone,,0.504
6058,Bone,,0.586
6059,Bone,,0.091
6061,Bone,,0.034
6063,Bone,1,0.09
6065,Bone,,0.004
6066,Bone,,0.417
6067,Bone,,0.052
6071,Bone,,0.236
6072,Bone,,0.684
6075,Bone,1,0.006
6076,Bone,,0.11
6077,Bone,,0.265
6078,Bone,,1.278
7000,Bone,,14.24
7001,Bone,,0.54
7013,Bone,,0.944
7013,Bone,3,0.006
7014,Bone,,0.226
7018,Bone,,0.086
7019,Bone,,0.28
7019,Bone,,0.28
7019,Bone,,0.28
7019,Bone,,0.28
7019,Bone,,0.28
7019,Bone,,0.28
7019,Bone,,0.28
7019,Bone,,0.28
7023,Bone,2,0.004
7025,Bone,2,0.003
7028,Bone,,0.025
7029,Bone,3,0.006
7029,Bone,,1.146
7030,Bone,,9.76
7031,Bone,,0.047
7032,Bone,,0.928
7033,Bone,,0.015
7034,Bone,,0.1
7034,Bone,,0.286
7035,Bone,,0.097
7059,Bone,3,0.001
7063,Bone,3,0.057
7063,Bone,,0.863
7069,Bone,,0.305
7076,Bone,,0.678
7077,Bone,,2.26
7086,Bone,2,0.002
7099,Bone,2,0.004
7099,Bone,2,0.004
7099,Bone,2,0.004
7099,Bone,2,0.004
7099,Bone,2,0.004
7099,Bone,2,0.004
7099,Bone,2,0.004
7102,Bone,,0.038
7104,Bone,,0.179
7105,Bone,,0.1
