SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_END
3793,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,4,4,0.012,2,3,-700,-600
3803,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.006,3,3,-700,-600
3809,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,4,6,0.032,2,6,-700,-600
3810,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,3,3,0.006,2,3,-700,-600
3827,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.006,3,3,-700,-600
3848,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,5,7,0.026,2,4,-700,-600
3852,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,NULL,1,0.024,6,6,-700,-600
3853,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.006,3,3,-700,-600
3859,Buccheroid Impasto,NULL,NULL,NULL,1,NULL,2,3,0.032,2,5,-700,-600
321,Etrusco-Corinthian,NULL,NULL,NULL,NULL,NULL,7,7,0.014,NULL,NULL,-700,-600
2643,Etrusco-Corinthian,NULL,NULL,NULL,NULL,NULL,1,1,0.002,2,2,-700,-600
2677,Impasto Bruno,NULL,NULL,4,2,1,43,50,0.689,2,11,-700,-600
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-700,-600
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-700,-600
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-700,-600
2505,Cooking Stand,in two joining fragments; this is actually likely a fragment of a rectangular brazier,NULL,NULL,NULL,NULL,1,1,0.125,5,5,-699,-600
141,Bucchero,NULL,NULL,6,1,1,4,12,NULL,NULL,NULL,-650,-600
280,Etrusco-corinthian,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,-650,-600
2575,Bucchero,NULL,NULL,3,NULL,NULL,1,4,0.03,2,6,-650,-600
2731,Impasto Bruno,NULL,NULL,28,10,7,370,415,5.378,2,11,-650,-600
2731,Impasto Bruno,NULL,NULL,28,10,7,370,415,5.378,2,11,-650,-600
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-650,-600
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-650,-600
141,Ionic Cup,NULL,NULL,1,1,NULL,1,3,NULL,NULL,NULL,-640,-600
2131,Impasto Rosso,NULL,NULL,10,2,3,36,51,NULL,NULL,NULL,-630,-600
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-630,-600
2002,Bucchero,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-630,-600
2002,Bucchero,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-630,-600
587,Bucchero,NULL,NULL,18,4,NULL,44,66,NULL,NULL,NULL,-625,-600
1136,Bucchero,NULL,NULL,1,2,NULL,NULL,3,NULL,NULL,NULL,-625,-600
3731,Impasto Rosso,NULL,NULL,1,4,NULL,25,29,0.842,3,9,-625,-600
2287,Impasto Chiaro Sabbioso,NULL,NULL,2,NULL,NULL,1,3,NULL,NULL,NULL,-600,-600
3004,Etrusco-corinthian,NULL,NULL,8,2,NULL,26,36,NULL,NULL,NULL,-600,-600
3004,Etrusco-corinthian,NULL,NULL,8,2,NULL,26,36,NULL,NULL,NULL,-400,-600
427,Impasto Rosso,NULL,NULL,6,NULL,NULL,11,17,NULL,NULL,NULL,-630,-590
427,Impasto Rosso,NULL,NULL,6,NULL,NULL,11,17,NULL,NULL,NULL,-630,-590
3630,Impasto Rosso,One fragment with small zig-zag pattern,NULL,NULL,NULL,NULL,8,8,0.064,2,3,-1000,-580
2370,Impasto,NULL,NULL,2,NULL,2,22,26,NULL,NULL,NULL,-900,-580
3483,Impasto,NULL,NULL,6,NULL,1,121,128,1.22,2,7,-900,-580
3483,Impasto,NULL,NULL,6,NULL,1,121,128,1.22,2,7,-900,-580
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-900,-580
2349,Impasto,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,-770,-580
141,Etrusco-corinthian,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,-730,-580
141,Impasto,NULL,NULL,8,5,3,58,74,NULL,NULL,NULL,-730,-580
1330,Impasto,NULL,NULL,2,2,NULL,8,12,0.138,2,4,-730,-580
2015,Impasto,NULL,NULL,NULL,1,NULL,4,5,NULL,NULL,NULL,-730,-580
3004,Impasto,NULL,NULL,153,43,11,1350,1557,NULL,NULL,NULL,-730,-580
3012,Impasto,NULL,NULL,42,3,13,315,373,NULL,NULL,NULL,-730,-580
3052,Impasto,NULL,NULL,8,1,1,24,34,NULL,NULL,NULL,-730,-580
3056,Impasto Rosso,NULL,NULL,1,NULL,NULL,2,3,NULL,NULL,NULL,-730,-580
3116,Impasto,NULL,NULL,NULL,1,NULL,NULL,1,0.012,NULL,4,-730,-580
3131,Impasto,NULL,NULL,9,8,7,90,114,2.42,2,10,-730,-580
3131,Impasto,NULL,NULL,9,8,7,90,114,2.42,2,10,-730,-580
3131,Impasto,NULL,NULL,9,8,7,90,114,2.42,2,10,-730,-580
3134,Etrusco-corinthian,NULL,NULL,NULL,1,NULL,1,2,0.01,3,4,-730,-580
3263,Impasto,NULL,NULL,50,7,3,628,688,5.555,1,11,-730,-580
3269,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,3,5,0.016,1,4,-730,-580
3272,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,NULL,2,0.01,3,3,-730,-580
3282,Impasto,NULL,NULL,3,NULL,NULL,10,13,0.262,2,10,-730,-580
3285,Impasto,NULL,NULL,7,NULL,1,17,25,0.21,2,6,-730,-580
3287,Impasto Bruno,NULL,NULL,4,2,2,78,86,1.142,1,9,-730,-580
3305,Impasto Bruno,NULL,NULL,29,6,5,332,372,4.163,2,8,-730,-580
3305,Impasto Bruno,NULL,NULL,29,6,5,332,372,4.163,2,8,-730,-580
3386,Buccheroid Impasto,NULL,NULL,2,NULL,NULL,NULL,2,0.002,2,4,-730,-580
3386,Impasto,NULL,NULL,NULL,2,NULL,66,67,0.496,2,12,-730,-580
3429,Buccheroid Impasto,NULL,NULL,NULL,1,NULL,8,9,0.026,2,3,-730,-580
3442,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,5,6,0.008,1,3,-730,-580
3442,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,5,6,0.008,1,3,-730,-580
