SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_START_SUFFIX,SD_END,SD_END_SUFFIX
434,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,500,BC,400,BC
435,Bucchero,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,675,BC,450,BC
435,Impasto,NULL,NULL,3,NULL,NULL,53,56,NULL,NULL,NULL,900,BC,500,BC
435,Impasto Rosso,NULL,NULL,3,NULL,NULL,18,21,NULL,NULL,NULL,800,BC,500,BC
435,Internal Slip Ware,NULL,NULL,1,NULL,NULL,20,21,NULL,NULL,NULL,400,BC,200,BC
436,Black Gloss,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,400,BC,50,BC
436,Impasto,NULL,NULL,NULL,NULL,NULL,13,13,NULL,NULL,NULL,900,BC,500,BC
436,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,11,12,NULL,NULL,NULL,100,BC,100,AD
438,Impasto,NULL,NULL,3,NULL,NULL,6,9,NULL,NULL,NULL,900,BC,500,BC
438,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,500,BC,400,BC
439,Black Gloss,NULL,NULL,3,2,1,21,27,NULL,NULL,NULL,400,BC,50,BC
439,Impasto,NULL,NULL,2,NULL,NULL,8,10,NULL,NULL,NULL,900,BC,500,BC
439,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,NULL,500,BC,400,BC
439,Impasto Rosso,NULL,NULL,2,NULL,NULL,8,10,NULL,NULL,NULL,800,BC,500,BC
440,Impasto,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,900,BC,500,BC
441,Bucchero,NULL,NULL,1,1,2,10,14,NULL,NULL,NULL,675,BC,450,BC
441,Impasto,NULL,NULL,12,NULL,1,53,66,NULL,NULL,NULL,900,BC,500,BC
441,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,600,BC,400,BC
441,Internal Red Slip Ware,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,400,BC,200,BC
441,Painted Fineware,NULL,NULL,1,1,NULL,4,6,NULL,NULL,NULL,600,BC,525,BC
442,Black Gloss,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,300,BC,100,BC
442,Impasto,NULL,NULL,3,NULL,NULL,12,15,NULL,NULL,NULL,900,BC,500,BC
444,Black Gloss,NULL,NULL,3,NULL,1,2,6,NULL,NULL,NULL,400,BC,50,BC
444,Black Gloss,NULL,NULL,3,NULL,1,2,6,NULL,NULL,NULL,300,BC,200,BC
444,Commonware,NULL,NULL,43,NULL,11,246,300,NULL,NULL,NULL,400,BC,150,BC
444,Impasto,NULL,NULL,40,4,3,265,312,NULL,NULL,NULL,900,BC,500,BC
445,Black Gloss,NULL,NULL,1,NULL,NULL,3,4,NULL,NULL,NULL,400,BC,50,BC
445,Terra Sigillata,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,50,BC,180,AD
446,Impasto,NULL,NULL,NULL,1,NULL,9,10,NULL,NULL,NULL,900,BC,500,BC
448,Impasto,NULL,NULL,NULL,NULL,NULL,17,17,NULL,NULL,NULL,900,BC,500,BC
449,Impasto,NULL,NULL,2,NULL,NULL,10,12,NULL,NULL,NULL,900,BC,500,BC
449,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,800,BC,500,BC
452,Bucchero,NULL,NULL,2,NULL,NULL,10,12,NULL,NULL,NULL,675,BC,450,BC
452,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,5,6,NULL,NULL,NULL,600,BC,500,BC
452,Commonware,NULL,NULL,5,NULL,1,2,8,NULL,NULL,NULL,400,BC,200,BC
452,Impasto,NULL,NULL,12,NULL,NULL,81,93,NULL,NULL,NULL,900,BC,500,BC
452,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,6,6,NULL,NULL,NULL,500,BC,400,BC
452,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,800,BC,500,BC
453,Black Gloss,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,400,BC,50,BC
453,Bucchero,NULL,NULL,2,2,NULL,5,9,NULL,NULL,NULL,675,BC,450,BC
453,Impasto,NULL,NULL,4,NULL,4,40,48,NULL,NULL,NULL,900,BC,500,BC
453,Impasto Chiaro Sabbioso,NULL,NULL,NULL,1,1,NULL,2,NULL,NULL,NULL,0,AD,200,AD
455,Impasto,NULL,NULL,1,NULL,NULL,12,13,NULL,NULL,NULL,900,BC,500,BC
455,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,800,BC,500,BC
457,Bucchero,Edited by Cheyenne Paulson 2017,NULL,1,2,NULL,8,11,0.024,NULL,NULL,675,BC,500,BC
457,Impasto,Edited by Cheyenne Paulson 2017,NULL,9,NULL,7,53,NULL,1.372,NULL,NULL,900,BC,500,BC
458,Black Gloss,NULL,NULL,NULL,NULL,1,4,5,NULL,NULL,NULL,400,BC,50,BC
458,Bucchero,NULL,NULL,1,3,1,6,11,NULL,NULL,NULL,675,BC,450,BC
458,Commonware,NULL,NULL,37,1,3,96,137,NULL,NULL,NULL,200,BC,400,AD
458,Commonware,NULL,NULL,37,1,3,96,137,NULL,NULL,NULL,200,BC,100,AD
458,Impasto,NULL,NULL,10,1,4,96,111,NULL,NULL,NULL,900,BC,500,BC
459,Impasto,NULL,NULL,8,NULL,1,21,30,NULL,NULL,NULL,900,BC,500,BC
459,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,500,BC,400,BC
461,Black Gloss,NULL,NULL,6,NULL,NULL,7,13,0.075,NULL,NULL,400,BC,200,BC
461,Black Gloss,NULL,NULL,6,NULL,NULL,7,13,0.075,NULL,NULL,300,BC,250,BC
461,Black Gloss,NULL,NULL,6,NULL,NULL,7,13,0.075,NULL,NULL,150,BC,100,BC
